Postalcode,Borough,Neighborhood,City,City1,City2,Latitude,Longitude,IsDuplicate,Total Venues,1st Most Common Label,2nd Most Common Label,3rd Most Common Label,4th Most Common Label,5th Most Common Label,6th Most Common Label,7th Most Common Label,8th Most Common Label,9th Most Common Label,10th Most Common Label
G8M,Normandin,Albanel,Quebec City,"Quebec City, Quebec","Quebec City, QC",49.39878691681266,0.2476695881292606,False,5.0,Arts and Entertainment,Retail,Food and Beverage Retail,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service
G1N,South Central,South Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.802781681000056,-71.26598115599995,False,18.0,Dining and Lunching,Retail,Arts and Entertainment,Travel and Transportation,Food and Beverage Retail,Office,Bar,Business and Professional Services,Community and Government,Education
G2N,Quebec City West,Quebec City West North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.91302856900006,-71.33953045699997,False,8.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
G3N,Sainte-Catherine-de-la-Jacques-Cartier,"Fossambault-sur-le-Lac, Lac-Saint-Joseph",Quebec City,"Quebec City, Quebec","Quebec City, QC",46.84445200000005,-71.61522599999995,False,8.0,Dining and Lunching,Food and Beverage Retail,Landmarks and Outdoors,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
G5N,Rimouski,Rimouski Southwest,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.44922800000006,-68.52525899999995,True,35.0,Dining and Lunching,Bar,Retail,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Sports and Recreation,Business and Professional Services,Community and Government,Education
G7N,Saguenay,Laterrière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G8N,Hébertville,Hébertville,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.394205000000056,-71.67745099999996,False,6.0,Retail,Travel and Transportation,Business and Professional Services,Arts and Entertainment,Bar,Community and Government,Dining and Lunching,Education,Event,Financial Service
G9N,Shawinigan,Shawinigan Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.55324000000007,-72.75034699999998,True,18.0,Dining and Lunching,Food and Beverage Retail,Retail,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education
G1P,Quebec City West,Quebec City West South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.79109000000005,-71.29249999999996,False,21.0,Dining and Lunching,Arts and Entertainment,Food and Beverage Retail,Retail,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
G6P,Victoriaville,Victoriaville Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.054955000000064,-71.96020599999997,True,10.0,Dining and Lunching,Food and Beverage Retail,Bar,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service,Health and Medicine
G7P,Saint-Ambroise,Saint-Ambroise,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.55955200000005,-71.32398399999994,False,5.0,Food and Beverage Retail,Business and Professional Services,Dining and Lunching,Landmarks and Outdoors,Arts and Entertainment,Bar,Community and Government,Education,Event,Financial Service
G9P,Shawinigan,Shawinigan Southeast,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.55324000000007,-72.75034699999998,True,18.0,Dining and Lunching,Food and Beverage Retail,Retail,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education
G1R,Saint-Louis-de-Gonzague-du-Cap-Tourmente,Saint-Louis-de-Gonzague-du-Cap-Tourmente,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.810830511064665,-71.21501399726375,False,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Food and Beverage Retail,Business and Professional Services,Education
G4R,Sept-Îles,"Maliotenam, Uashat",Quebec City,"Quebec City, Quebec","Quebec City, QC",50.20984600000003,-66.38522399999994,True,11.0,Dining and Lunching,Travel and Transportation,Food and Beverage Retail,Office,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
