Postalcode,Borough,Neighborhood,City,City1,City2,Latitude,Longitude,IsDuplicate,Total Venues,1st Most Common Label,2nd Most Common Label,3rd Most Common Label,4th Most Common Label,5th Most Common Label,6th Most Common Label,7th Most Common Label,8th Most Common Label,9th Most Common Label,10th Most Common Label
G8W,Trois-Rivières,Trois-Rivières West North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True,100.0,Dining and Lunching,Arts and Entertainment,Bar,Travel and Transportation,Food and Beverage Retail,Retail,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education
G1X,West Sainte-Foy,West Sainte-Foy,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.77470178000004,-71.33260888999996,False,5.0,Retail,Travel and Transportation,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event
G4X,Gaspé,Gaspé,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.81228000000005,-71.21453999999994,True,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event
G5X,Beauceville,Beauceville,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.209284000000025,-70.77879599999994,False,5.0,Dining and Lunching,Food and Beverage Retail,Business and Professional Services,Arts and Entertainment,Bar,Community and Government,Education,Event,Financial Service,Health and Medicine
G6X,Lévis,Lévis North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.81228000000005,-71.21453999999994,True,700.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event
G7X,Saguenay,Central Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G9X,La Tuque,La Bostonnais,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.43778000000003,-72.78059299999995,False,4.0,Dining and Lunching,Food and Beverage Retail,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service
G1Y,Cap-Rouge,Cap-Rouge,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.75066300000003,-71.35559144899997,False,7.0,Dining and Lunching,Food and Beverage Retail,Landmarks and Outdoors,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education
G5Y,Saint-Georges,Saint-Georges Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.12271400000003,-70.67015099999998,True,11.0,Dining and Lunching,Arts and Entertainment,Food and Beverage Retail,Retail,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education,Event
G6Y,Lévis,Lévis North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.81228000000005,-71.21453999999994,True,700.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event
G7Y,Saguenay,Southwest Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G8Y,Trois-Rivières,Trois-Rivières Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True,50.0,Dining and Lunching,Arts and Entertainment,Bar,Travel and Transportation,Food and Beverage Retail,Retail,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education
G3Z,Baie-Saint-Paul,Baie-Saint-Paul,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.44249200000007,-70.50582299999996,False,25.0,Dining and Lunching,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Food and Beverage Retail,Retail,Bar,Community and Government,Education,Event
G4Z,Baie-Comeau,Baie-Comeau Northeast,Quebec City,"Quebec City, Quebec","Quebec City, QC",49.22131600000006,-68.15030299999995,True,5.0,Dining and Lunching,Travel and Transportation,Bar,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail
G5Z,Saint-Georges,Saint-Georges Southeast,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.12271400000003,-70.67015099999998,True,11.0,Dining and Lunching,Arts and Entertainment,Food and Beverage Retail,Retail,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education,Event
G6Z,Lévis,Lévis North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.81228000000005,-71.21453999999994,True,700.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event
G7Z,Saguenay,Northwest Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G8Z,Trois-Rivières,Trois-Rivières Northeast North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True,100.0,Dining and Lunching,Arts and Entertainment,Bar,Travel and Transportation,Food and Beverage Retail,Retail,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education
G0C,Percé,"New Richmond, Bonaventure, Percé, Caplan, Carleton-sur-Mer, Chandler, Pointe-à-la-Croix, Escuminac, Port-Daniel–Gascons, Cascapédia–Saint-Jules, Grande-Rivière, Grande-Rivière, Pointe-à-la-Croix, Maria, Gesgapegiag, New Carlisle, Chandler, New Richmond, Nouvelle, Nouvelle, Chandler, Chandler, Paspébiac, Hope, Percé, Escuminac, Port-Daniel–Gascons, Listuguj, Saint-Alphonse, Saint-Elzéar, Percé, Hope, Carleton-sur-Mer, Saint-Siméon, Sainte-Thérèse-de-Gaspé, Saint-Godefroi, Hope Town, Shigawake, Percé",Quebec City,"Quebec City, Quebec","Quebec City, QC",46.81228000000005,-71.21453999999994,True,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event
G0M,Saint-Martin,"Courcelles-Saint-Évariste, La Guadeloupe, Saint-Hilaire-de-Dorset, Lambton, Saint-Côme–Linière, Notre-Dame-des-Pins, Saint-Simon-les-Mines, Saint-Alfred, Sainte-Aurélie, Saint-Benjamin, Saint-Benoît-Labre, Lac-Poulin, Saint-Éphrem-de-Beauce, Courcelles-Saint-Évariste, Saint-Gédéon-de-Beauce, Saint-Honoré-de-Shenley, Saint-Ludger, Saint-Philibert, Saint-Prosper, Saint-René, Saint-Théophile, Saint-Victor, Saint-Zacharie, Saint-Robert-Bellarmin",Quebec City,"Quebec City, Quebec","Quebec City, QC",45.96677000000005,-70.64902999999998,False,3.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G0N,Saint-Joseph-de-Coleraine,"Saint-Julien, Sainte-Clotilde-de-Beauce, Disraeli, Sainte-Praxède, Saint-Jacques-le-Majeur-de-Wolfestown, Sacré-Cœur-de-Jésus, East Broughton, Saint-Jacques-de-Leeds, Kinnear's Mills, Saint-Adrien-d'Irlande, Saint-Ferdinand, Saint-Frédéric, Saint-Jules, Adstock, Saint-Pierre-de-Broughton, Saint-Séverin, Tring-Jonction",Quebec City,"Quebec City, Quebec","Quebec City, QC",45.96677000000005,-71.36576999999994,False,5.0,Retail,Business and Professional Services,Dining and Lunching,Landmarks and Outdoors,Arts and Entertainment,Bar,Community and Government,Education,Event,Financial Service
G0R,Armagh,"Saint-Cyprien, Beaumont, Berthier-sur-Mer, Notre-Dame-Auxiliatrice-de-Buckland, Cap-Saint-Ignace, Saint-Luc-de-Bellechasse, Frampton, Honfleur, Saint-Antoine-de-l'Isle-aux-Grues, Lac-Etchemin, Lac-Frontière, La Durantaye, L'Islet, Sainte-Justine, La Pocatière, Sainte-Anne-de-la-Pocatière, L'Islet, L'Islet, Notre-Dame-du-Rosaire, Saint-Fabien-de-Panet, Saint-Louis-de-Gonzague, Saint-Adalbert, Saint-Anselme, Sainte-Apolline-de-Patton, Saint-Aubert, Saint-Camille-de-Lellis, Saint-Charles-de-Bellechasse, Sainte-Claire, Saint-Cyrille-de-Lessard, Saint-Damase-de-L'Islet, Saint-Damien-de-Buckland, Sainte-Euphémie-sur-Rivière-du-Sud, Saint-François-de-la-Rivière-du-Sud, Saint-Gervais, Saint-Henri, Saint-Jean-Port-Joli, Saint-Just-de-Bretenières, Saint-Lazare-de-Bellechasse, Sainte-Louise, Sainte-Lucie-de-Beauregard, Saint-Magloire, Saint-Malachie, Saint-Marcel, Saint-Michel-de-Bellechasse, Saint-Nazaire-de-Dorchester, Saint-Nérée-de-Bellechasse, Saint-Onésime-d'Ixworth, Saint-Pamphile, Saint-Paul-de-Montminy, Sainte-Perpétue, Saint-Philémon, Saint-Pierre-de-la-Rivière-du-Sud, Saint-Raphaël, Saint-Roch-des-Aulnaies, Sainte-Rose-de-Watford, Sainte-Sabine, Saint-Vallier, Saint-Léon-de-Standon, Tourville, Sainte-Felicité, Saint-Omer",Quebec City,"Quebec City, Quebec","Quebec City, QC",46.746830000000045,-70.57575999999995,False,1.0,Dining and Lunching,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail,Health and Medicine
G0V,Saguenay,"Bégin, Saint-David-de-Falardeau, Saint-Charles-de-Bourget, Ferland-et-Boilleau, L'Anse-Saint-Jean, Saint-Honoré, Saint-Félix-d'Otis, Petit-Saguenay, Rivière-Éternité, Saint-Fulgence, Sainte-Rose-du-Nord",Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail
G0W,Saint-Eugène-d'Argentenay,"Notre-Dame-de-Lorette, Mistissini, Sainte-Jeanne-d'Arc, Chambord, Chapais, Saint-Augustin, Saint-François-de-Sales, Desbiens, Saint-Thomas-Didyme, Girardville, Hébertville-Station, Lac-Bouchette, Lamarche, L'Ascension-de-Notre-Seigneur, Larouche, Saint-Ludger-de-Milot, Péribonka, Mashteuiatsh, Saint-André-du-Lac-Saint-Jean, Saint-Bruno, Saint-Edmond-les-Plaines, Saint-Gédéon, Sainte-Hedwidge, Labrecque, Sainte-Monique, Saint-Nazaire, Saint-Henri-de-Taillon, Obedjiwan, Oujé-Bougoumou",Quebec City,"Quebec City, Quebec","Quebec City, QC",48.97803000000005,-72.29185999999999,False,2.0,Arts and Entertainment,Dining and Lunching,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail,Health and Medicine
G0X,Batiscan,"Wôlinak, Champlain, Charette, Grandes-Piles, Hérouxville, Shawinigan, Lac-aux-Sables, Saint-Mathieu-du-Parc, La Tuque, Lemieux, Manseau, Notre-Dame-de-Montauban, Saint-Séverin, Trois-Rives, Saint-Roch-de-Mékinac, Saint-Adelphe, Sainte-Anne-de-la-Pérade, Saint-Barnabé, Saint-Boniface, Sainte-Cécile-de-Lévrard, Saint-Élie-de-Caxton, Saint-Étienne-des-Grès, Sainte-Geneviève-de-Batiscan, Shawinigan, Sainte-Marie-de-Blandford, Saint-Maurice, Saint-Narcisse, Saint-Pierre-les-Becquets, Saint-Prosper-de-Champlain, Saint-Sévère, Sainte-Sophie-de-Lévrard, Saint-Stanislas, Sainte-Thècle, Saint-Tite, Notre-Dame-du-Mont-Carmel, Saint-Luc-de-Vincennes, Yamachiche, La Tuque, Lac-Édouard, La Tuque, Wemotaci",Quebec City,"Quebec City, Quebec","Quebec City, QC",46.81389200000007,-71.20807399999995,False,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Bar,Arts and Entertainment,Retail,Business and Professional Services,Community and Government,Education,Event
G0Y,Audet,"Beaulac-Garthby, Lac-Drolet, Milan, Val-Racine, Nantes, Marston, Piopolis, Sainte-Cécile-de-Whitton, Saint-Romain, Saint-Sébastien, Stornoway, Stratford, Saint-Augustin-de-Woburn",Quebec City,"Quebec City, Quebec","Quebec City, QC",46.81228000000005,-71.21453999999994,True,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event
G0Z,Aston-Jonction,"Saint-Louis-de-Blandford, Daveluyville, Maddington Falls, Sainte-Eulalie, Saint-Samuel, Saint-Sylvère, Saint-Wenceslas, Saint-Rosaire",Quebec City,"Quebec City, Quebec","Quebec City, QC",46.16896000000003,-72.23319999999995,False,2.0,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service
H1A,Pointe-aux-Trembles,Pointe-aux-Trembles,Montreal,"Montreal, Quebec","Montreal, QC",45.67459644600007,-73.50285749299996,False,4.0,Landmarks and Outdoors,Retail,Sports and Recreation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event
H2A,Saint-Michel,Saint-Michel South,Montreal,"Montreal, Quebec","Montreal, QC",45.56186119600005,-73.59918477299993,False,38.0,Dining and Lunching,Retail,Travel and Transportation,Food and Beverage Retail,Bar,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education
H3A,Downtown & co,"Downtown, McGill University",Montreal,"Montreal, Quebec","Montreal, QC",45.50534869300003,-73.57705756099995,False,100.0,Dining and Lunching,Retail,Arts and Entertainment,Bar,Landmarks and Outdoors,Travel and Transportation,Food and Beverage Retail,Sports and Recreation,Business and Professional Services,Community and Government
H4A,Notre-Dame-de-Grâce,Notre-Dame-de-Grâce North,Montreal,"Montreal, Quebec","Montreal, QC",45.47249392100008,-73.61540714799997,False,93.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Travel and Transportation,Business and Professional Services,Landmarks and Outdoors,Office,Arts and Entertainment,Community and Government
H5A,Place Bonaventure,Place Bonaventure,Montreal,"Montreal, Quebec","Montreal, QC",45.49972350100006,-73.56528667399994,False,100.0,Dining and Lunching,Arts and Entertainment,Travel and Transportation,Retail,Landmarks and Outdoors,Bar,Food and Beverage Retail,Business and Professional Services,Community and Government,Education
H7A,Laval,East Duvernay,Montreal,"Montreal, Quebec","Montreal, QC",45.52098601382271,-73.70553651531485,True,37.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event
