Postalcode,Borough,Neighborhood,City,City1,City2,Latitude,Longitude,IsDuplicate
G4V,Sainte-Anne-des-Monts,Sainte-Anne-des-Monts,Quebec City,"Quebec City, Quebec","Quebec City, QC",49.126333000000045,-66.48411399999998,False
G5V,Montmagny,Montmagny,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.980151000000035,-70.55662199999995,False
G6V,Lévis,Lévis North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G8V,Trois-Rivières,Trois-Rivières Northeast North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True
G1W,Southeast Sainte-Foy,Southeast Sainte-Foy,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.756274896000036,-71.29923327399996,False
G4W,Matane,Matane,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G6W,Lévis,Lévis South,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.75442671400003,-71.21841043699999,False
G8W,Trois-Rivières,Trois-Rivières West North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True
G1X,West Sainte-Foy,West Sainte-Foy,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.77470178000004,-71.33260888999996,False
G4X,Gaspé,Gaspé,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G5X,Beauceville,Beauceville,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.209284000000025,-70.77879599999994,False
G6X,Lévis,Lévis North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G7X,Saguenay,Central Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True
G9X,La Tuque,La Bostonnais,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.43778000000003,-72.78059299999995,False
G1Y,Cap-Rouge,Cap-Rouge,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.75066300000003,-71.35559144899997,False
G5Y,Saint-Georges,Saint-Georges Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.12271400000003,-70.67015099999998,True
G6Y,Lévis,Lévis North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G7Y,Saguenay,Southwest Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True
G8Y,Trois-Rivières,Trois-Rivières Central,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True
G3Z,Baie-Saint-Paul,Baie-Saint-Paul,Quebec City,"Quebec City, Quebec","Quebec City, QC",47.44249200000007,-70.50582299999996,False
G4Z,Baie-Comeau,Baie-Comeau Northeast,Quebec City,"Quebec City, Quebec","Quebec City, QC",49.22131600000006,-68.15030299999995,True
G5Z,Saint-Georges,Saint-Georges Southeast,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.12271400000003,-70.67015099999998,True
G6Z,Lévis,Lévis North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G7Z,Saguenay,Northwest Jonquière,Quebec City,"Quebec City, Quebec","Quebec City, QC",48.37224865500008,-71.13058857099998,True
G8Z,Trois-Rivières,Trois-Rivières Northeast North,Quebec City,"Quebec City, Quebec","Quebec City, QC",46.34311100000008,-72.54331999999994,True
G0A,Sainte-Christine-d'Auvergne,"Beaupré, Boischatel, Cap-Santé, Château-Richer, Deschambault-Grondines, Deschambault-Grondines, L'Isle-aux-Coudres, L'Isle-aux-Coudres, Lac-Sergent, L'Ange-Gardien, Petite-Rivière-Saint-François, Les Éboulements, Neuville, Portneuf, Rivière-à-Pierre, Saint-Alban, Sainte-Anne-de-Beaupré, Saint-Basile, L'Isle-aux-Coudres, Sainte-Brigitte-de-Laval, Saint-Casimir, Sainte-Famille-de-l'Île-d'Orléans, Saint-Ferréol-les-Neiges, Saint-François-de-l'Île-d'Orléans, Saint-Gilbert, Saint-Hilarion, Saint-Jean-de-l'Île-d'Orléans, Saint-Joachim, Les Éboulements, Saint-Laurent-de-l'Île-d'Orléans, Saint-Léonard-de-Portneuf, Saint-Marc-des-Carrières, Sainte-Pétronille, Saint-Pierre-de-l'Île-d'Orléans, Saint-Thuribe, Saint-Tite-des-Caps, Saint-Urbain, Saint-Ubalde, Saint-Gabriel-de-Valcartier, Wendake, Saint-Gabriel-de-Valcartier, CFB Valcartier",Quebec City,"Quebec City, Quebec","Quebec City, QC",47.27845156300003,-71.30273536399994,False
G0C,Percé,"New Richmond, Bonaventure, Percé, Caplan, Carleton-sur-Mer, Chandler, Pointe-à-la-Croix, Escuminac, Port-Daniel–Gascons, Cascapédia–Saint-Jules, Grande-Rivière, Grande-Rivière, Pointe-à-la-Croix, Maria, Gesgapegiag, New Carlisle, Chandler, New Richmond, Nouvelle, Nouvelle, Chandler, Chandler, Paspébiac, Hope, Percé, Escuminac, Port-Daniel–Gascons, Listuguj, Saint-Alphonse, Saint-Elzéar, Percé, Hope, Carleton-sur-Mer, Saint-Siméon, Sainte-Thérèse-de-Gaspé, Saint-Godefroi, Hope Town, Shigawake, Percé",Quebec City,"Quebec City, Quebec","Quebec City, QC",46.812280000000044,-71.21453999999994,True
G0E,La Martre,"Cloridorme, Grande-Vallée, Saint-Maxime-du-Mont-Louis, Sainte-Madeleine-de-la-Rivière-Madeleine, Sainte-Madeleine-de-la-Rivière-Madeleine, Marsoui, Saint-Maxime-du-Mont-Louis, Mont-Saint-Pierre, Murdochville, Petite-Vallée, Rivière-à-Claude, Sainte-Madeleine-de-la-Rivière-Madeleine, Rivière-à-Claude, Saint-Maxime-du-Mont-Louis, La Martre",Quebec City,"Quebec City, Quebec","Quebec City, QC",49.13391000000007,-66.18442999999996,False
G0G,Aguanish,"Baie-Johan-Beetz, Blanc-Sablon, Blanc-Sablon, Côte-Nord-du-Golfe-du-Saint-Laurent, Sept-Îles, Fermont, Sept-Îles, La Romaine, Côte-Nord-du-Golfe-du-Saint-Laurent, Havre-Saint-Pierre, Aguanish, Côte-Nord-du-Golfe-du-Saint-Laurent, Gros-Mécatina, Longue-Pointe-de-Mingan, Blanc-Sablon, Rivière-Saint-Jean, Bonne-Espérance, Sept-Îles, Gros-Mécatina, Nutashkuan, Natashquan, Bonne-Espérance, Rivière-au-Tonnerre, Rivière-Saint-Jean, Bonne-Espérance, Saint-Augustin, Matimekosh, Schefferville, Rivière-au-Tonnette, Côte-Nord-du-Golfe-du-Saint-Laurent, L'Île-d'Anticosti, Kawawachikamach",Quebec City,"Quebec City, Quebec","Quebec City, QC",50.32615000000004,-62.30758999999995,False
G0H,Baie-Trinité,"Pessamit, Chute-aux-Outardes, Franquelin, Godbout, Pointe-aux-Outardes, Pointe-Lebel, Colombier, Port-Cartier, Ragueneau",Quebec City,"Quebec City, Quebec","Quebec City, QC",49.46439000000004,-67.35349999999994,False
G0J,Albertville,"Baie-des-Sables, Cap-Chat, Cap-Chat, Cap-Chat, Causapscal, Grosses-Roches, Lac-au-Saumon, Saint-Zénon-du-Lac-Humqui, La Rédemption, L'Ascension-de-Patapédia, Métis-sur-Mer, Les Méchins, Matapédia, Ristigouche-Sud-Est, Padoue, Price, Grand-Métis, Routhierville, Saint-Adelme, Saint-Alexandre-des-Lacs, Saint-Alexis-de-Matapédia, Saint-André-de-Restigouche, Sainte-Angèle-de-Mérici, Saint-Damase, Sainte-Félicité, Sainte-Flavie, Sainte-Florence, Saint-François-d'Assise, Sainte-Irène, Saint-Jean-de-Cherbourg, Sainte-Jeanne-d'Arc, Saint-Léandre, Saint-Léon-le-Grand, Sainte-Marguerite-Marie, Saint-Moïse, Saint-Noël, Saint-Octave-de-Métis, Sainte-Paule, Saint-René-de-Matane, Saint-Tharcisius, Saint-Ulric, Saint-Vianney, Sayabec, Val-Brillant, Saint-Cléophas",Quebec City,"Quebec City, Quebec","Quebec City, QC",48.32226000000003,-67.36929999999995,False
G0K,Esprit-Saint,"La Trinité-des-Monts, Les Hauteurs, Saint-Anaclet-de-Lessard, Saint-Charles-Garnier, Saint-Donat, Saint-Gabriel-de-Rimouski, Sainte-Luce, Saint-Marcellin, Saint-Narcisse-de-Rimouski, Biencourt, Lac-des-Aigles, Lac-des-Aigles",Quebec City,"Quebec City, Quebec","Quebec City, QC",48.04756000000003,-68.53232999999994,False
